Date,Close,Open,High,Low,volume
01-06-2023,2207.80,2217.00,2222.00,2202.15,1049488.00
02-06-2023,2234.55,2221.00,2237.30,2212.15,1399950.00
05-06-2023,2268.30,2245.00,2272.80,2240.00,2344944.00
06-06-2023,2277.95,2269.00,2280.70,2263.70,1677680.00
08-06-2023,2340.30,2316.95,2345.05,2312.75,2556995.00
09-06-2023,2363.00,2345.00,2368.85,2338.25,2501720.00
12-06-2023,2339.95,2365.00,2370.00,2333.10,1172382.00
13-06-2023,2354.40,2345.85,2357.90,2327.10,1688768.00
14-06-2023,2355.05,2352.90,2360.00,2340.00,1013564.00
15-06-2023,2361.30,2355.00,2369.50,2349.00,2561534.00
16-06-2023,2366.80,2363.75,2380.00,2352.25,1794542.00
19-06-2023,2366.35,2379.00,2419.90,2361.00,3111256.00
20-06-2023,2382.00,2364.95,2389.65,2354.45,1771306.00
21-06-2023,2394.45,2382.00,2412.00,2382.00,1607299.00
23-06-2023,2389.55,2418.95,2427.00,2383.25,1212955.00
26-06-2023,2377.55,2398.10,2403.85,2367.95,793572.00
27-06-2023,2388.05,2387.45,2396.95,2371.55,1012317.00
28-06-2023,2421.45,2400.00,2432.90,2390.05,1734938.00
30-06-2023,2475.55,2420.00,2483.50,2415.05,2690699.00
03-07-2023,2454.05,2478.20,2492.40,2448.00,1078456.00
04-07-2023,2461.85,2458.20,2484.40,2458.20,1441581.00
05-07-2023,2470.80,2461.00,2484.95,2454.35,1191896.00
06-07-2023,2488.60,2468.10,2499.95,2467.55,1796824.00
07-07-2023,2449.35,2482.75,2504.00,2444.60,1837661.00
10-07-2023,2438.75,2450.00,2463.35,2420.00,1178479.00
11-07-2023,2474.55,2447.20,2479.00,2447.20,1219658.00
12-07-2023,2454.95,2480.30,2485.95,2447.80,1822435.00
13-07-2023,2450.15,2466.00,2484.90,2446.25,1141663.00
14-07-2023,2472.25,2450.25,2477.05,2448.65,845623.00
17-07-2023,2468.80,2475.00,2494.00,2465.00,878697.00
18-07-2023,2474.70,2469.00,2489.95,2468.10,720865.00
19-07-2023,2494.15,2474.60,2502.95,2466.40,1431080.00
20-07-2023,2489.70,2494.00,2495.70,2469.05,1045704.00
21-07-2023,2586.25,2522.00,2595.00,2521.10,4610417.00
24-07-2023,2605.25,2637.65,2638.00,2583.90,2155297.00
25-07-2023,2560.90,2616.00,2617.75,2553.00,2068876.00
26-07-2023,2646.25,2591.00,2673.85,2585.00,5820099.00
27-07-2023,2660.20,2668.95,2676.35,2646.45,2117794.00
28-07-2023,2649.55,2660.15,2668.15,2625.00,1325724.00
31-07-2023,2681.35,2655.00,2690.00,2631.10,1284981.00
01-08-2023,2666.65,2681.35,2689.00,2655.35,1298745.00
02-08-2023,2622.15,2638.00,2644.95,2602.70,1479486.00
03-08-2023,2598.10,2615.00,2642.75,2586.30,1612618.00
04-08-2023,2626.90,2605.00,2635.00,2598.50,1101278.00
07-08-2023,2635.90,2628.00,2654.00,2623.10,1163125.00
08-08-2023,2632.20,2639.05,2649.50,2628.30,767310.00
09-08-2023,2651.60,2635.00,2655.00,2615.25,906865.00
10-08-2023,2643.50,2640.10,2661.60,2621.65,1040041.00
11-08-2023,2638.50,2642.05,2656.90,2631.25,1320121.00
14-08-2023,2659.90,2637.00,2663.55,2616.00,1364413.00
17-08-2023,2652.50,2691.05,2691.05,2642.00,1629067.00
18-08-2023,2641.95,2650.00,2674.70,2632.75,1898966.00
21-08-2023,2662.25,2641.85,2666.60,2623.45,1376318.00
22-08-2023,2678.80,2668.00,2685.65,2662.00,1497180.00
23-08-2023,2717.60,2689.55,2726.00,2682.45,1990672.00
24-08-2023,2688.15,2747.50,2766.80,2680.60,2619182.00
28-08-2023,2695.35,2653.55,2700.00,2650.05,1551734.00
29-08-2023,2718.95,2710.00,2722.10,2696.30,1101830.00
30-08-2023,2709.00,2722.95,2737.65,2707.00,1920079.00
31-08-2023,2702.70,2720.00,2724.60,2678.35,2439625.00
01-09-2023,2702.10,2710.00,2715.95,2688.30,1263430.00
04-09-2023,2711.10,2733.00,2742.00,2705.00,1548282.00
05-09-2023,2732.95,2720.50,2739.00,2720.00,1066447.00
06-09-2023,2730.45,2740.00,2742.80,2712.00,1747425.00
07-09-2023,2846.40,2733.00,2855.95,2730.00,4100519.00
08-09-2023,2901.60,2888.00,2928.70,2872.45,3638510.00
11-09-2023,2894.20,2905.00,2926.00,2890.05,1545803.00
12-09-2023,2944.10,2951.60,3009.00,2932.45,7788759.00
13-09-2023,2906.75,2943.50,2943.70,2888.45,2458417.00
14-09-2023,2918.60,2924.90,2931.65,2906.00,1910041.00
15-09-2023,2908.55,2933.00,2934.95,2900.00,1655275.00
18-09-2023,2919.85,2910.00,2930.00,2907.00,736631.00
20-09-2023,2890.00,2926.95,2944.95,2886.05,1399240.00
21-09-2023,2899.35,2885.05,2905.10,2846.05,2444711.00
22-09-2023,2918.50,2908.70,2936.45,2902.25,1965569.00
25-09-2023,2902.50,2917.95,2923.80,2871.00,1049532.00
26-09-2023,2912.55,2915.00,2944.00,2910.00,953456.00
27-09-2023,2965.05,2922.00,2994.90,2911.65,2903693.00
28-09-2023,3010.00,2989.00,3050.50,2978.25,4081102.00
29-09-2023,3023.55,3040.00,3058.35,3005.25,2698016.00
03-10-2023,3073.25,3040.50,3077.45,2995.10,3254492.00
04-10-2023,3027.75,3064.10,3064.10,2990.05,3100946.00
05-10-2023,3096.05,3032.55,3114.90,3032.55,3413447.00
06-10-2023,3093.70,3114.95,3114.95,3073.15,1898118.00
09-10-2023,3074.70,3075.00,3085.00,3055.55,1181760.00
10-10-2023,3076.00,3073.85,3099.00,3072.15,1551789.00
11-10-2023,3088.70,3090.00,3110.00,3084.40,2066921.00
12-10-2023,3081.75,3094.00,3105.05,3067.05,1870280.00
13-10-2023,3089.60,3067.75,3099.00,3063.50,1437808.00
16-10-2023,3101.90,3098.95,3113.25,3074.70,818794.00
17-10-2023,3066.30,3109.90,3114.20,3063.00,1847182.00
18-10-2023,3045.60,3068.65,3079.15,3037.15,1350839.00
19-10-2023,3054.40,3025.60,3069.90,3007.15,1599104.00
20-10-2023,3012.35,3039.95,3056.25,2977.30,1667471.00
23-10-2023,2958.30,3003.00,3006.90,2949.00,1614030.00
25-10-2023,2916.10,2959.00,2965.50,2910.30,2108353.00
26-10-2023,2864.60,2906.00,2916.15,2857.05,3286109.00
30-10-2023,2926.35,2899.20,2932.00,2856.15,1693052.00
31-10-2023,2929.05,2929.95,2951.55,2907.95,1556467.00
01-11-2023,2895.30,2947.45,2983.15,2871.05,3875595.00
02-11-2023,2918.10,2935.00,2937.85,2903.20,1451606.00
03-11-2023,2911.25,2934.00,2948.05,2905.00,1136175.00
06-11-2023,2975.45,2933.00,2979.00,2927.25,1235499.00
08-11-2023,2996.45,2974.70,3002.75,2961.00,1013438.00
09-11-2023,3024.85,3003.00,3028.70,2997.00,1719911.00
10-11-2023,3033.25,3021.05,3044.00,3005.25,947753.00
13-11-2023,3048.50,3050.00,3054.35,3031.65,531769.00
15-11-2023,3064.95,3062.35,3071.05,3055.00,1160184.00
16-11-2023,3051.15,3057.95,3082.10,3045.00,1597607.00
17-11-2023,3109.00,3050.00,3115.45,3045.15,1325050.00
20-11-2023,3088.80,3095.10,3111.95,3076.20,1231164.00
21-11-2023,3074.85,3088.50,3099.00,3062.45,1884782.00
22-11-2023,3082.30,3074.85,3088.65,3062.50,1104208.00
24-11-2023,3054.25,3050.00,3067.00,3039.60,915121.00
29-11-2023,3083.75,3050.00,3089.90,3049.00,1801107.00
30-11-2023,3109.20,3076.30,3124.55,3058.70,3131624.00
01-12-2023,3190.65,3129.95,3197.95,3121.05,2112908.00
04-12-2023,3313.55,3285.00,3347.55,3250.00,3095974.00
05-12-2023,3315.45,3319.05,3325.00,3279.05,1659309.00
06-12-2023,3392.30,3330.00,3401.00,3321.00,2057233.00
07-12-2023,3355.60,3392.30,3409.90,3337.05,2128823.00
11-12-2023,3385.80,3377.95,3405.00,3360.00,1534238.00
12-12-2023,3342.40,3375.00,3375.00,3332.00,1888423.00
13-12-2023,3399.80,3352.95,3410.00,3346.20,1509107.00
15-12-2023,3488.00,3435.15,3498.90,3432.85,2632935.00
18-12-2023,3491.60,3496.00,3506.00,3466.00,1767429.00
19-12-2023,3498.95,3488.95,3525.00,3476.05,1311700.00
20-12-2023,3418.50,3505.00,3514.60,3412.55,1876048.00
21-12-2023,3424.15,3390.05,3439.95,3333.00,2292802.00
22-12-2023,3477.95,3424.00,3496.00,3408.60,1681707.00
26-12-2023,3490.05,3477.95,3508.35,3477.95,1072263.00
27-12-2023,3544.00,3510.00,3549.00,3504.15,1389266.00
28-12-2023,3518.05,3545.00,3559.95,3500.50,3371121.00
29-12-2023,3526.00,3531.00,3540.00,3495.00,968577.00
01-01-2024,3525.45,3538.00,3538.00,3496.05,777080.00
02-01-2024,3438.10,3525.05,3525.45,3432.00,1511464.00
03-01-2024,3440.35,3433.00,3465.85,3411.60,1283859.00
04-01-2024,3458.70,3441.05,3480.10,3423.00,1651616.00
